Vehicle Type,Public Vehicle Number,Status,Vehicle Make,Vehicle Model,Vehicle Model Year,Vehicle Color,Vehicle Fuel Source,Wheelchair Accessible,Company Name,Address,City,State,ZIP Code,Taxi Affiliation,Taxi Medallion License Management ,Record ID
Taxi,6986,INACTIVE,,,,,Gasoline,N,CITY OF CHICAGO BACP,2350 W. OGDEN AVE.,CHICAGO,IL,60608,,,6986Taxi
Taxi,6848,INACTIVE,,,,,Gasoline,N,CITY OF CHICAGO BACP,2350 W. OGDEN AVE.,CHICAGO,IL,60608,,,6848Taxi
Taxi,6982,INACTIVE,,,,,Gasoline,N,CITY OF CHICAGO BACP,2350 W. OGDEN AVE.,CHICAGO,IL,60608,,,6982Taxi
Taxi,1767,ACTIVE,TOYOTA,SIENNA,2020,WHITE,Gasoline,Y,"MARGA ZORA, CORP.",9696 W. FOSTER AVE.,CHICAGO,IL,60656,Flash Cab Co,Owner-Operator,1767Taxi
Charter Sightseeing,21225,ACTIVE,FREIGHTLINER,FB65,2003,WHITE,Gasoline,N,"EMPEROR LIMOUSINE AND PARTY BUS, LLC",5 E. 14TH PL.,CHICAGO,IL,60605,,,21225Charter Sightseeing
Charter Sightseeing,21226,ACTIVE,FREIGHTLINER,FB65,2002,WHITE,Gasoline,N,"EMPEROR LIMOUSINE AND PARTY BUS, LLC",5 E. 14TH PL.,CHICAGO,IL,60605,,,21226Charter Sightseeing
Taxi,4063,VIOLATION,NISSAN,ALTIMA,2011,WHITE,Hybrid,N,ZEN TAXI LLC,4536 N. ELSTON AVE.,CHICAGO,IL,60630,DIS-AFFILIATED,Owner Manager,4063Taxi
Taxi,6045,ACTIVE,TOYOTA,CAMRY,2019,WHITE,Hybrid,N,BISU-624 LTD,9696 W. FOSTER AVE.,CHICAGO,IL,60656,Flash Cab Co,Chicago Taxicab Management Inc.,6045Taxi
Taxi,266,VIOLATION,TOYOTA,PRIUS,2013,GREEN,Hybrid,N,NECT 26 LLC,6500 N. WESTERN AVE.,CHICAGO,IL,60645,TAXI TOWN AFFILIATION LLC,"Medallion Leasing and Management, Inc.",266Taxi
Taxi,1959,ACTIVE,TOYOTA,SIENNA,2020,GRAY/WHITE,Gasoline,Y,DT TAXI EXPRESS INC,7405 N. WESTERN AVE.,CHICAGO,IL,60645,Choice Taxi Association Inc,Owner-Operator,1959Taxi
Taxi,5644,VIOLATION,TOYOTA,PRIUS,2012,WHITE,Hybrid,N,"LINCOLNSHIRE SERVICE II, CORP.",3801 N. ELSTON AVE.,CHICAGO,IL,60618,EXPIRED AFFILIATION,Owner Manager,5644Taxi
Taxi,2937,ACTIVE,TOYOTA,PRIUS,2013,YELLOW,Hybrid,N,K. R. I. ENT INC,3800 N. MILWAUKEE AVE.,CHICAGO,IL,60641,Yellow Cab Association,Owner Manager,2937Taxi
Charter Sightseeing,12259,INACTIVE,FORD,EXPEDITION,2007,WHITE,Gasoline,N,CLUB CHITOWN LIMOUSINE INC,40 E. CHICAGO AVE.,CHICAGO,IL,60611,,,12259Charter Sightseeing
Medicar,6759,INACTIVE,FORD,E150,2007,WHITE,Gasoline,N,Joiner Enterprises Inc,7650 S. YATES BLVD.,CHICAGO,IL,60649,,,6759Medicar
Taxi,4,SURRENDER,TOYOTA,CAMRY,2020,YELLOW,Hybrid,N,SAFI TAXI II INC,3800 N. MILWAUKEE AVE.,CHICAGO,IL,60641,Yellow Cab Association,Owner Manager,4Taxi
Medicar,21825,VIOLATION,DODGE,CARAVAN,2005,WHITE,Gasoline,N,BLESSED HANDS TRANSPORTATION LLC,7251 S. PHILLIPS AVE.,CHICAGO,IL,60649,,,21825Medicar
Taxi,6936,VIOLATION,TOYOTA,CAMRY,2014,WHITE,Hybrid,N,AAA TAXI INC,9696 W. FOSTER AVE.,CHICAGO,IL,60656,DIS-AFFILIATED,Owner Manager,6936Taxi
Livery,9298,ACTIVE,GMC,YUKON XL,2023,BLACK,Gasoline,N,FAST LANE LIMOUSINE INC,5550 N. ELSTON AVE.,CHICAGO,IL,60630,,,9298Livery
Taxi,5277,ACTIVE,TOYOTA,CAMRY,2015,WHITE,Hybrid,N,DOLAPO CO,9696 W. FOSTER AVE.,CHICAGO,IL,60656,Flash Cab Co,Owner Manager,5277Taxi
Taxi,3354,ACTIVE,TOYOTA,CAMRY,2012,WHITE,Hybrid,N,R-B ULQIN TRANZ INC,2151 W. ARTHUR AVE.,CHICAGO,IL,60645,Independent1,Owner-Operator,3354Taxi
