WARD SECTION (CONCATENATED),WARD,SECTION,MONTH NAME,MONTH NUMBER,DATES
0101,01,01,JUNE,6,"2,3"
0101,01,01,JULY,7,"1,7"
0101,01,01,AUGUST,8,"4,5"
0101,01,01,SEPTEMBER,9,"1,2"
0101,01,01,OCTOBER,10,"6,7"
0101,01,01,NOVEMBER,11,"3,4"
0102,01,02,JUNE,6,"4,5"
0102,01,02,JULY,7,"2,3"
0102,01,02,AUGUST,8,"6,7"
0102,01,02,SEPTEMBER,9,"3,4"
0102,01,02,OCTOBER,10,"1,2"
0102,01,02,NOVEMBER,11,"5,6"
0103,01,03,JUNE,6,"9,10"
0103,01,03,JULY,7,"8,14"
0103,01,03,AUGUST,8,"11,12"
0103,01,03,SEPTEMBER,9,"8,9"
0103,01,03,OCTOBER,10,"13,14"
0103,01,03,NOVEMBER,11,"10,11"
0104,01,04,JUNE,6,"11,12"
0104,01,04,JULY,7,"9,10"
0104,01,04,AUGUST,8,"13,14"
0104,01,04,SEPTEMBER,9,"10,11"
0104,01,04,OCTOBER,10,"8,9"
0104,01,04,NOVEMBER,11,"12,13"
0105,01,05,MAY,5,"19,20"
0105,01,05,JUNE,6,"16,17"
0105,01,05,JULY,7,"15,21"
0105,01,05,AUGUST,8,"18,19"
0105,01,05,SEPTEMBER,9,"15,16"
0105,01,05,OCTOBER,10,"20,21"
0105,01,05,NOVEMBER,11,"17,18"
0106,01,06,JUNE,6,"18,19"
0106,01,06,JULY,7,"16,17"
0106,01,06,AUGUST,8,"20,21"
0106,01,06,SEPTEMBER,9,"17,18"
0106,01,06,OCTOBER,10,"15,16"
0106,01,06,NOVEMBER,11,"19,20"
0107,01,07,MAY,5,"26,27"
0107,01,07,JUNE,6,"23,24"
0107,01,07,JULY,7,"22,28"
0107,01,07,AUGUST,8,"25,26"
0107,01,07,SEPTEMBER,9,"22,23"
0107,01,07,OCTOBER,10,"27,28"
0108,01,08,MAY,5,"22,28"
0108,01,08,JUNE,6,"25,26"
0108,01,08,JULY,7,"23,24"
0108,01,08,AUGUST,8,"27,28"
0108,01,08,SEPTEMBER,9,"24,25"
0108,01,08,OCTOBER,10,"22,23"
0109,01,09,JUNE,6,"1,8"
0109,01,09,JULY,7,"6,13"
0109,01,09,AUGUST,8,"3,10"
0109,01,09,SEPTEMBER,9,"7,14"
0109,01,09,OCTOBER,10,"5,12"
0109,01,09,NOVEMBER,11,"2,9"
0110,01,10,JUNE,6,"15,22"
0110,01,10,JULY,7,"20,27"
0110,01,10,AUGUST,8,"17,24"
0110,01,10,SEPTEMBER,9,"21,28"
0110,01,10,OCTOBER,10,"19,26"
0110,01,10,NOVEMBER,11,16
0111,01,11,MAY,5,29
0111,01,11,JUNE,6,"29,30"
0111,01,11,JULY,7,"29,30"
0111,01,11,AUGUST,8,31
0111,01,11,SEPTEMBER,9,"29,30"
0111,01,11,OCTOBER,10,"29,30"
0201,02,01,JUNE,6,"1,2,19,22"
0201,02,01,JULY,7,"10,13,30,31"
0201,02,01,AUGUST,8,"19,20"
0201,02,01,SEPTEMBER,9,"9,10,29,30"
0201,02,01,OCTOBER,10,"20,21"
0201,02,01,NOVEMBER,11,"9,10"
0202,02,02,JUNE,6,"3,4,23,24"
0202,02,02,JULY,7,"14,15"
0202,02,02,AUGUST,8,"3,4,21,24"
0202,02,02,SEPTEMBER,9,"11,14"
0202,02,02,OCTOBER,10,"1,2,22,23"
0202,02,02,NOVEMBER,11,"11,12"
0203,02,03,JUNE,6,"5,8,25,26"
0203,02,03,JULY,7,"16,17"
