"FROM STATION ID","Station Name","Total Docks","Docks in Service","Status","Latitude","Longitude","Location"
117,"Wilton Ave & Belmont Ave",27,27,"In Service",41.94023192,-87.65294373,"(41.940231918108594, -87.65294373035431)"
301,"Clark St & Schiller St",19,19,"In Service",41.907993,-87.631501,"(41.907993, -87.631501)"
465,"Marine Dr & Ainslie St",23,23,"In Service",41.9716,-87.650154,"(41.9716, -87.650154)"
333,"Ashland Ave & Blackhawk St",15,15,"In Service",41.907066,-87.667252,"(41.907066, -87.667252)"
48,"Larrabee St & Kingsbury St",43,43,"In Service",41.897764,-87.642884,"(41.897764, -87.642884)"
280,"Morgan St & 31st St",11,11,"In Service",41.8378,-87.65114,"(41.8378, -87.65114)"
174,"Canal St & Madison St",35,35,"In Service",41.882091,-87.639833,"(41.882091, -87.639833)"
277,"Ashland Ave & Grand Ave",15,15,"In Service",41.891072,-87.666611,"(41.891072, -87.666611)"
54,"Ogden Ave & Chicago Ave",19,19,"In Service",41.89636246,-87.65406127,"(41.896362458, -87.6540612729)"
130,"Damen Ave & Division St",19,19,"In Service",41.903266,-87.678435,"(41.903266, -87.678435)"
94,"Clark St & Armitage Ave",31,31,"In Service",41.918306,-87.636282,"(41.918306, -87.636282)"
69,"Damen Ave & Pierce Ave",23,23,"In Service",41.90939601,-87.67769193,"(41.9093960065, -87.6776919292)"
240,"Sheridan Rd & Irving Park Rd",27,27,"In Service",41.954245,-87.654406,"(41.954245, -87.654406)"
113,"Sheridan Rd & Argyle St",15,15,"In Service",41.97328682,-87.65475959,"(41.97328682025979, -87.65475958585739)"
127,"Lincoln Ave & Fullerton Ave",15,15,"In Service",41.92416103,-87.64638037,"(41.924161029067626, -87.64638036489487)"
50,"Clark St & Ida B Wells Dr",35,35,"In Service",41.87593267,-87.63058454,"(41.8759326655, -87.6305845355)"
250,"Ashland Ave & Wellington Ave",19,19,"In Service",41.936083,-87.669807,"(41.936083, -87.669807)"
213,"Leavitt St & North Ave",15,15,"In Service",41.91050937,-87.68238902,"(41.91050936666395, -87.6823890209198)"
